# NP K17 K18 K19 K20
1 7.285516e-06 3.642763e-06 1.821383e-06 9.106915e-07
2 7.285516e-06 3.642763e-06 1.821383e-06 9.106916e-07
4 7.285516e-06 3.642763e-06 1.821383e-06 9.106916e-07
8 7.285516e-06 3.642763e-06 1.821383e-06 9.106916e-07
