# Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ
1564734000 ; 23.5954 ; 3.28331 ; 0 ; 0
1564823000 ; 23.8791 ; 3.28415 ; 0 ; 0
1564909000 ; 35.7809 ; 3.28621 ; 0 ; 0
1565007000 ; 24.0106 ; 3.28407 ; 0 ; 0
1565099000 ; 24.0593 ; 3.28407 ; 0 ; 0
1565184000 ; 24.0544 ; 3.28392 ; 0 ; 0
1565278000 ; 11.7045 ; 3.28148 ; 0 ; 0
1565368000 ; 11.6887 ; 3.28117 ; 0 ; 0
1565458000 ; 11.707 ; 3.28125 ; 0 ; 0
1565542000 ; 23.9047 ; 3.28346 ; 0 ; 0
1565629000 ; 23.9619 ; 3.28392 ; 0 ; 0
1565713000 ; 35.4754 ; 3.28629 ; 0 ; 0
1565799000 ; 35.5302 ; 3.28835 ; 0 ; 0
1565884000 ; 23.6746 ; 3.28377 ; 0 ; 0
1565968000 ; 11.6899 ; 3.28476 ; 0 ; 0
1566059000 ; 11.7021 ; 3.2814 ; 0 ; 0
1566150000 ; 11.7045 ; 3.28163 ; 0 ; 0
1566234000 ; 11.6826 ; 3.28278 ; 0 ; 0
1566319000 ; 23.9558 ; 3.28384 ; 0 ; 0
1566409000 ; 35.5326 ; 3.28629 ; 0 ; 0
1566500000 ; 23.677 ; 3.28522 ; 0 ; 0
1566594000 ; 11.7045 ; 3.28117 ; 0 ; 0
1566684000 ; 11.707 ; 3.28117 ; 0 ; 0
1566779000 ; 11.6887 ; 3.28125 ; 0 ; 0
1566868000 ; 35.4437 ; 3.28583 ; 0 ; 0
1566951000 ; 35.5484 ; 3.28804 ; 0 ; 0
1567034000 ; 11.7179 ; 3.28224 ; 0 ; 0
1567127000 ; 11.7155 ; 3.2814 ; 0 ; 0
1567216000 ; 11.6887 ; 3.2814 ; 0 ; 0
1567312000 ; 11.7131 ; 3.28102 ; 0 ; 0
1567404000 ; 23.957 ; 3.28384 ; 0 ; 0
1567499000 ; 35.5472 ; 3.28796 ; 0 ; 0
1567582000 ; 35.6069 ; 3.28651 ; 0 ; 0
1567671000 ; 23.6831 ; 3.28392 ; 0 ; 0
1567760000 ; 11.707 ; 3.28293 ; 0 ; 0
1567850000 ; 11.6972 ; 3.28117 ; 0 ; 0
1567939000 ; 23.9607 ; 3.28529 ; 0 ; 0
1568029000 ; 35.5679 ; 3.28629 ; 0 ; 0
1568118000 ; 23.6904 ; 3.28384 ; 0 ; 0
1568207000 ; 11.696 ; 3.28117 ; 0 ; 0
1568298000 ; 11.6911 ; 3.28323 ; 0 ; 0
1568395000 ; 23.9777 ; 3.28468 ; 0 ; 0
1568481000 ; 35.5362 ; 3.28636 ; 0 ; 0
1568573000 ; 35.6288 ; 3.28644 ; 0 ; 0
1568663000 ; 23.6867 ; 3.28377 ; 0 ; 0
