# SDP RPT GHB
ammp          1.30 1.42 1.53
applu         1.09 1.07 1.05
apsi          1.03 1.02 1.03
art110        1.04 1.04 1.05
art470        1.04 1.04 1.05
bzip2-graphic 1.01 1.02 1.02
bzip2-program 1.03 1.04 1.04
bzip2-source  1.01 1.00 1.00
galgel        1.05 1.04 1.06
swim          1.00 1.00 1.00
twolf         0.97 1.02 1.00
wupwise       1.25 1.25 1.25
