# P T K UMAX EMAX LATENCY
2  1 14 1.000000e+00 1.130315e-08 6.174659e+02
4  1 14 1.000000e+00 1.130315e-08 3.097205e+02
8  1 14 1.000000e+00 1.130315e-08 1.703931e+02
16 1 14 1.000000e+00 1.130315e-08 9.813019e+01
32 1 14 1.000000e+00 1.130315e-08 8.717203e+01
